order_id,order_date,customer,country,channel,sku,units_ordered,order_value_eur,fulfilment_status,fulfilment_date,notes
ORD-2025-05208,2025-05-20,E.Leclerc,FR,EDI,MG375-FR,1297,20682.67,NOT_FULFILLED,,
ORD-2025-04001,2025-10-07,Mercadona,ES,EDI,FX60-UK,1108,18341.09,NOT_FULFILLED,,
ORD-2025-00867,2025-03-09,Boots UK,UK,EDI,FX60-UK,990,4684.09,FULFILLED,2025-03-10,
ORD-2025-01674,2025-01-13,Coop Group,EU,EDI,MG375-FR,184,2770.84,FULFILLED,2025-01-18,
ORD-2025-02387,2025-07-16,Boots UK,UK,EDI,FX60-UK,1189,16536.05,FULFILLED,2025-07-17,
ORD-2025-06929,2025-02-22,Boots UK,UK,Manual,MG375-FR,1875,7874.48,FULFILLED,2025-02-27,
ORD-2025-08187,2025-02-06,Tesco UK,UK,Email,AL180-EU,1315,8241.41,FULFILLED,2025-02-08,
ORD-2025-05024,2025-01-09,E.Leclerc,FR,EDI,DP500-FR,148,1766.36,FULFILLED,2025-01-12,
ORD-2025-06884,2025-01-27,Coop Group,EU,Manual,DP500-FR,87,688.77,FULFILLED,2025-01-28,
ORD-2025-03002,2025-03-16,Coop Group,EU,EDI,FX60-UK,1763,8971.34,FULFILLED,2025-03-20,
ORD-2025-02971,2025-05-01,Lidl Europe,EU,EDI,DP1000-FR,437,4562.37,NOT_FULFILLED,,
ORD-2025-07113,2025-08-11,Lidl Europe,EU,Manual,DP500-FR,1641,22821.7,FULFILLED,2025-08-16,
ORD-2025-02290,2025-09-16,Tesco UK,UK,EDI,MG375-FR,1986,25480.85,FULFILLED,2025-09-20,
ORD-2025-00882,2025-02-23,Tesco UK,UK,EDI,FX60-UK,1124,10311.23,FULFILLED,2025-02-24,
ORD-2025-01803,2025-02-09,Tesco UK,UK,EDI,CAD400-FR,631,9767.54,FULFILLED,2025-02-13,
ORD-2025-01774,2025-04-08,Boots UK,UK,EDI,AL120-EU,538,2472.53,FULFILLED,2025-04-12,
ORD-2025-08230,2025-05-25,Boots UK,UK,Email,DP1000-FR,87,657.53,FULFILLED,2025-05-30,
ORD-2025-07682,2025-01-27,Mercadona,ES,Email,CAD400-FR,972,14055.62,FULFILLED,2025-01-31,
ORD-2025-04043,2025-09-22,Carrefour France,FR,EDI,AL180-EU,389,4362.71,FULFILLED,2025-09-25,
ORD-2025-02008,2025-03-18,Carrefour France,FR,EDI,CAD400-FR,650,8168.77,FULFILLED,2025-03-21,
ORD-2025-08264,2025-10-05,Lidl Europe,EU,Fax,AL120-EU,1464,16834.05,FULFILLED,2025-10-06,
ORD-2025-01748,2025-12-09,Lidl Europe,EU,EDI,MG375-FR,1611,10376.11,FULFILLED,2025-12-11,
ORD-2025-01338,2025-06-16,Mercadona,ES,EDI,BS10-DE,1075,16060.36,FULFILLED,2025-06-18,
ORD-2025-02275,2025-01-22,dm (Drogerie Markt),DE,EDI,BS10-DE,340,2829.9,FULFILLED,2025-01-24,
ORD-2025-02871,2025-05-26,Tesco UK,UK,EDI,DP500-FR,1427,15215.22,FULFILLED,2025-05-29,
ORD-2025-08041,2025-08-03,dm (Drogerie Markt),DE,Email,BS10-DE,694,11331.41,NOT_FULFILLED,,
ORD-2025-05437,2025-02-07,Mercadona,ES,EDI,DP1000-FR,1814,7641.04,FULFILLED,2025-02-09,
ORD-2025-02841,2025-11-09,Tesco UK,UK,EDI,DP1000-FR,847,11630.61,FULFILLED,2025-11-14,
ORD-2025-00644,2025-07-14,Boots UK,UK,EDI,DP1000-FR,551,7905.84,FULFILLED,2025-07-15,
ORD-2025-03218,2025-11-08,dm (Drogerie Markt),DE,EDI,BS10-DE,341,2401.95,NOT_FULFILLED,,
ORD-2025-02985,2025-10-11,Carrefour France,FR,EDI,DP1000-FR,1277,13823.82,FULFILLED,2025-10-16,
ORD-2025-08173,2025-01-23,Tesco UK,UK,Email,FX60-UK,1696,19577.1,FULFILLED,2025-01-24,
ORD-2025-01438,2025-04-01,Tesco UK,UK,EDI,DP500-FR,686,7550.32,FULFILLED,2025-04-06,
ORD-2025-02126,2025-08-28,Coop Group,EU,EDI,MG375-FR,1364,16799.48,FULFILLED,2025-09-02,
ORD-2025-00769,2025-10-25,Coop Group,EU,EDI,FX60-UK,1294,19475.92,FULFILLED,2025-10-27,
ORD-2025-08315,2025-02-13,E.Leclerc,FR,Fax,DP500-FR,1186,7779.27,FULFILLED,2025-02-16,
ORD-2025-04268,2025-01-15,Lidl Europe,EU,EDI,DP500-FR,149,1328.19,FULFILLED,2025-01-16,
ORD-2025-04903,2025-05-13,E.Leclerc,FR,EDI,MG375-FR,1460,23528.05,NOT_FULFILLED,,
ORD-2025-04224,2025-10-27,Tesco UK,UK,EDI,DP1000-FR,908,7320.56,FULFILLED,2025-10-28,
ORD-2025-06161,2025-10-03,Mercadona,ES,Manual,DP500-FR,495,8596.29,NOT_FULFILLED,,
ORD-2025-01382,2025-07-29,Mercadona,ES,EDI,FX60-UK,230,1479.15,FULFILLED,2025-08-03,
ORD-2025-06170,2025-09-30,Boots UK,UK,Manual,CAD400-FR,1582,8215.97,FULFILLED,2025-10-02,
ORD-2025-04235,2025-05-01,Tesco UK,UK,EDI,AL120-EU,414,2170.18,NOT_FULFILLED,,
ORD-2025-04597,2025-10-09,E.Leclerc,FR,EDI,BS10-DE,1340,21442.11,FULFILLED,2025-10-14,
ORD-2025-01621,2025-05-24,Carrefour France,FR,EDI,FX60-UK,939,5648.23,FULFILLED,2025-05-25,
ORD-2025-02473,2025-04-19,Mercadona,ES,EDI,BS10-DE,429,3867.26,FULFILLED,2025-04-23,
ORD-2025-05513,2025-08-25,Tesco UK,UK,EDI,FX60-UK,828,10707.7,FULFILLED,2025-08-30,
ORD-2025-05126,2025-02-17,Coop Group,EU,EDI,DP500-FR,882,6110.99,FULFILLED,2025-02-18,
ORD-2025-00201,2025-04-16,Carrefour France,FR,EDI,FX60-UK,1352,4416.59,FULFILLED,2025-04-18,
ORD-2025-07214,2025-01-04,Mercadona,ES,Manual,CAD400-FR,70,501.11,NOT_FULFILLED,,
ORD-2025-08034,2025-09-09,Tesco UK,UK,Email,MG375-FR,1217,10989.69,FULFILLED,2025-09-14,
ORD-2025-03505,2025-01-03,Boots UK,UK,EDI,FX60-UK,1570,28037.92,FULFILLED,2025-01-08,
ORD-2025-05729,2025-06-11,Lidl Europe,EU,Manual,MG375-FR,209,563.47,NOT_FULFILLED,,
ORD-2025-06548,2025-09-01,Boots UK,UK,Manual,AL180-EU,822,14767.07,FULFILLED,2025-09-02,
ORD-2025-05359,2025-07-22,Coop Group,EU,EDI,CAD400-FR,115,520.22,FULFILLED,2025-07-26,
ORD-2025-01149,2025-07-10,Lidl Europe,EU,EDI,DP500-FR,1508,22107.91,FULFILLED,2025-07-14,
ORD-2025-07486,2025-11-17,Boots UK,UK,Email,CAD400-FR,1480,25164.81,FULFILLED,2025-11-21,
ORD-2025-07017,2025-01-13,Mercadona,ES,Manual,DP1000-FR,1619,22003.14,FULFILLED,2025-01-16,
ORD-2025-06174,2025-11-19,Coop Group,EU,Manual,AL180-EU,1716,25032.9,FULFILLED,2025-11-24,
ORD-2025-06364,2025-10-03,Lidl Europe,EU,Manual,BS10-DE,1605,24091.94,FULFILLED,2025-10-06,
ORD-2025-08117,2025-06-01,Carrefour France,FR,Email,FX60-UK,336,1978.57,FULFILLED,2025-06-04,
ORD-2025-03800,2025-04-27,Carrefour France,FR,EDI,AL180-EU,1903,34050.36,FULFILLED,2025-05-01,
ORD-2025-03975,2025-09-26,Coop Group,EU,EDI,BS10-DE,1713,6602.51,FULFILLED,2025-09-28,
ORD-2025-06576,2025-12-18,Carrefour France,FR,Manual,CAD400-FR,1949,28939.32,FULFILLED,2025-12-23,
ORD-2025-07431,2025-07-27,Mercadona,ES,Manual,MG375-FR,1229,16784.67,FULFILLED,2025-08-01,
ORD-2025-04295,2025-05-09,Boots UK,UK,EDI,BS10-DE,180,2563.42,NOT_FULFILLED,,
ORD-2025-01453,2025-02-20,Lidl Europe,EU,EDI,AL120-EU,1861,5163.67,FULFILLED,2025-02-23,
ORD-2025-00505,2025-07-12,Carrefour France,FR,EDI,MG375-FR,1483,23911.41,FULFILLED,2025-07-13,
ORD-2025-03910,2025-06-05,Boots UK,UK,EDI,FX60-UK,1002,8264.68,FULFILLED,2025-06-08,
ORD-2025-04817,2025-06-24,Mercadona,ES,EDI,BS10-DE,60,487.57,NOT_FULFILLED,,
ORD-2025-07424,2025-07-24,Carrefour France,FR,Manual,BS10-DE,1273,9040.13,FULFILLED,2025-07-25,
ORD-2025-00476,2025-10-19,E.Leclerc,FR,EDI,DP500-FR,1292,3809.3,FULFILLED,2025-10-20,
ORD-2025-01265,2025-12-10,Carrefour France,FR,EDI,AL120-EU,96,964.58,FULFILLED,2025-12-14,
ORD-2025-04092,2025-04-26,Lidl Europe,EU,EDI,CAD400-FR,1346,9917.21,FULFILLED,2025-04-30,
ORD-2025-07783,2025-08-17,Coop Group,EU,Email,DP500-FR,1760,7657.63,FULFILLED,2025-08-19,
ORD-2025-07793,2025-07-14,E.Leclerc,FR,Email,DP500-FR,1348,13492.63,FULFILLED,2025-07-18,
ORD-2025-04583,2025-05-16,Carrefour France,FR,EDI,DP500-FR,1438,15634.17,FULFILLED,2025-05-18,
ORD-2025-02136,2025-12-13,Boots UK,UK,EDI,MG375-FR,977,12747.82,FULFILLED,2025-12-15,
ORD-2025-06082,2025-01-21,Lidl Europe,EU,Manual,MG375-FR,1188,3442.44,FULFILLED,2025-01-26,
ORD-2025-01600,2025-11-19,E.Leclerc,FR,EDI,AL120-EU,1750,26003.55,FULFILLED,2025-11-21,
ORD-2025-02544,2025-01-08,E.Leclerc,FR,EDI,DP1000-FR,1026,3758.23,FULFILLED,2025-01-12,
ORD-2025-00739,2025-05-25,Carrefour France,FR,EDI,BS10-DE,1664,17050.14,FULFILLED,2025-05-26,
ORD-2025-04090,2025-11-23,Coop Group,EU,EDI,AL120-EU,395,1410.73,FULFILLED,2025-11-24,
ORD-2025-04917,2025-05-18,Boots UK,UK,EDI,FX60-UK,672,7709.13,FULFILLED,2025-05-20,
ORD-2025-01411,2025-06-07,Carrefour France,FR,EDI,AL120-EU,370,3043.58,FULFILLED,2025-06-11,
ORD-2025-05275,2025-04-16,Carrefour France,FR,EDI,AL120-EU,576,9887.85,NOT_FULFILLED,,
ORD-2025-04026,2025-11-14,Mercadona,ES,EDI,DP500-FR,1383,5112.83,FULFILLED,2025-11-17,
ORD-2025-07958,2025-01-24,Mercadona,ES,Email,MG375-FR,1521,15412.74,FULFILLED,2025-01-25,
ORD-2025-03061,2025-08-16,E.Leclerc,FR,EDI,FX60-UK,1534,7023.63,FULFILLED,2025-08-20,
ORD-2025-01270,2025-11-07,Carrefour France,FR,EDI,BS10-DE,806,8983.16,NOT_FULFILLED,,
ORD-2025-03126,2025-02-18,Tesco UK,UK,EDI,MG375-FR,1970,20169.33,FULFILLED,2025-02-19,
ORD-2025-03219,2025-02-16,Mercadona,ES,EDI,MG375-FR,396,4251.69,FULFILLED,2025-02-18,
ORD-2025-05609,2025-09-18,Lidl Europe,EU,EDI,CAD400-FR,1752,9929.4,FULFILLED,2025-09-22,
ORD-2025-05069,2025-06-08,Tesco UK,UK,EDI,BS10-DE,1131,13430.43,FULFILLED,2025-06-09,
ORD-2025-02843,2025-09-05,Tesco UK,UK,EDI,AL180-EU,847,12442.53,FULFILLED,2025-09-06,
ORD-2025-04518,2025-09-14,Mercadona,ES,EDI,AL120-EU,1487,20987.56,FULFILLED,2025-09-16,
ORD-2025-02923,2025-11-22,Tesco UK,UK,EDI,FX60-UK,98,1641.46,NOT_FULFILLED,,
ORD-2025-01928,2025-08-08,Lidl Europe,EU,EDI,MG375-FR,234,2823.05,FULFILLED,2025-08-13,
ORD-2025-02720,2025-03-26,Mercadona,ES,EDI,DP1000-FR,1643,27037.4,FULFILLED,2025-03-31,
ORD-2025-04675,2025-10-27,Lidl Europe,EU,EDI,DP500-FR,1455,24368.95,NOT_FULFILLED,,
ORD-2025-01544,2025-02-07,E.Leclerc,FR,EDI,FX60-UK,1113,14629.75,NOT_FULFILLED,,
ORD-2025-02049,2025-11-16,Coop Group,EU,EDI,FX60-UK,1955,25716.33,NOT_FULFILLED,,
ORD-2025-00986,2025-06-28,Lidl Europe,EU,EDI,AL180-EU,1091,9071.95,FULFILLED,2025-06-30,
ORD-2025-05786,2025-01-19,Boots UK,UK,Manual,CAD400-FR,120,548.15,FULFILLED,2025-01-20,
ORD-2025-04713,2025-02-10,Coop Group,EU,EDI,DP500-FR,224,1939.81,FULFILLED,2025-02-15,
ORD-2025-06095,2025-02-04,Mercadona,ES,Manual,DP500-FR,1784,14179.2,FULFILLED,2025-02-05,
ORD-2025-07347,2025-06-05,Lidl Europe,EU,Manual,FX60-UK,1596,20631.04,NOT_FULFILLED,,
ORD-2025-03961,2025-07-05,Boots UK,UK,EDI,FX60-UK,580,3559.89,FULFILLED,2025-07-07,
ORD-2025-05175,2025-01-26,Tesco UK,UK,EDI,FX60-UK,912,15406.87,FULFILLED,2025-01-31,
ORD-2025-00983,2025-04-18,Boots UK,UK,EDI,AL120-EU,1863,5260.83,FULFILLED,2025-04-23,
ORD-2025-00916,2025-03-31,E.Leclerc,FR,EDI,MG375-FR,99,906.92,NOT_FULFILLED,,
ORD-2025-02266,2025-08-31,Tesco UK,UK,EDI,CAD400-FR,1434,10080.54,FULFILLED,2025-09-05,
ORD-2025-06441,2025-01-14,Coop Group,EU,Manual,CAD400-FR,1145,5884.22,FULFILLED,2025-01-17,
ORD-2025-06801,2025-11-28,Tesco UK,UK,Manual,FX60-UK,1666,23458.94,FULFILLED,2025-11-29,
ORD-2025-00158,2025-04-23,Tesco UK,UK,EDI,DP500-FR,864,10105.52,FULFILLED,2025-04-28,
ORD-2025-00854,2025-12-19,Coop Group,EU,EDI,BS10-DE,1687,22211.87,FULFILLED,2025-12-20,
ORD-2025-07097,2025-05-11,Coop Group,EU,Manual,MG375-FR,545,2431.88,FULFILLED,2025-05-12,
ORD-2025-06927,2025-04-28,E.Leclerc,FR,Manual,DP500-FR,1383,4868.25,FULFILLED,2025-05-03,
ORD-2025-07374,2025-06-21,Tesco UK,UK,Manual,AL180-EU,1334,18206.41,FULFILLED,2025-06-22,
ORD-2025-06413,2025-10-12,Carrefour France,FR,Manual,BS10-DE,981,14528.56,FULFILLED,2025-10-14,
ORD-2025-08373,2025-09-03,Coop Group,EU,Fax,CAD400-FR,982,15548.38,NOT_FULFILLED,,
ORD-2025-03940,2025-07-23,Tesco UK,UK,EDI,DP500-FR,1483,7271.66,FULFILLED,2025-07-26,
ORD-2025-06018,2025-05-08,E.Leclerc,FR,Manual,DP1000-FR,1757,6305.82,NOT_FULFILLED,,
ORD-2025-00298,2025-08-29,Tesco UK,UK,EDI,DP500-FR,1733,17069.73,NOT_FULFILLED,,
ORD-2025-00176,2025-01-26,Lidl Europe,EU,EDI,BS10-DE,1481,15446.39,FULFILLED,2025-01-30,
ORD-2025-01370,2025-01-13,E.Leclerc,FR,EDI,DP500-FR,1053,7455.97,FULFILLED,2025-01-15,
ORD-2025-00934,2025-04-16,dm (Drogerie Markt),DE,EDI,CAD400-FR,1556,3943.84,FULFILLED,2025-04-20,
ORD-2025-02658,2025-06-06,Tesco UK,UK,EDI,CAD400-FR,1133,17965.33,FULFILLED,2025-06-09,
ORD-2025-07902,2025-06-11,Tesco UK,UK,Email,AL180-EU,438,6687.96,FULFILLED,2025-06-13,
ORD-2025-01467,2025-10-22,Mercadona,ES,EDI,CAD400-FR,636,3061.06,NOT_FULFILLED,,
ORD-2025-04672,2025-11-28,dm (Drogerie Markt),DE,EDI,DP500-FR,952,7012.87,FULFILLED,2025-11-29,
ORD-2025-07978,2025-02-01,Lidl Europe,EU,Email,FX60-UK,213,1915.98,FULFILLED,2025-02-02,
ORD-2025-07565,2025-07-10,Tesco UK,UK,Email,BS10-DE,411,6377.19,FULFILLED,2025-07-15,
ORD-2025-05377,2025-05-27,Boots UK,UK,EDI,DP500-FR,178,583.17,FULFILLED,2025-05-30,
ORD-2025-04123,2025-09-04,Coop Group,EU,EDI,AL180-EU,1733,6991.53,NOT_FULFILLED,,
ORD-2025-01137,2025-07-05,Tesco UK,UK,EDI,AL180-EU,844,12791.25,FULFILLED,2025-07-10,
ORD-2025-06690,2025-11-30,Coop Group,EU,Manual,FX60-UK,1871,19760.44,FULFILLED,2025-12-01,
ORD-2025-01908,2025-03-03,Coop Group,EU,EDI,CAD400-FR,376,2278.06,FULFILLED,2025-03-04,
ORD-2025-02700,2025-12-14,E.Leclerc,FR,EDI,CAD400-FR,74,1211.31,FULFILLED,2025-12-16,
ORD-2025-06038,2025-10-11,Coop Group,EU,Manual,AL180-EU,1006,6722.84,FULFILLED,2025-10-15,
ORD-2025-01352,2025-07-14,Tesco UK,UK,EDI,BS10-DE,1626,13271.93,FULFILLED,2025-07-15,
ORD-2025-06247,2025-06-07,Carrefour France,FR,Manual,BS10-DE,870,8825.62,FULFILLED,2025-06-09,
ORD-2025-07209,2025-05-23,dm (Drogerie Markt),DE,Manual,MG375-FR,1181,5720.98,FULFILLED,2025-05-26,
ORD-2025-02812,2025-04-02,Tesco UK,UK,EDI,FX60-UK,1919,10048.7,FULFILLED,2025-04-05,
ORD-2025-06181,2025-10-22,Boots UK,UK,Manual,DP1000-FR,1059,17773.06,NOT_FULFILLED,,
ORD-2025-01225,2025-01-28,Boots UK,UK,EDI,DP500-FR,1814,10466.12,FULFILLED,2025-01-30,
ORD-2025-06485,2025-03-15,Carrefour France,FR,Manual,BS10-DE,1636,5800.43,FULFILLED,2025-03-16,
ORD-2025-06682,2025-11-02,Boots UK,UK,Manual,MG375-FR,199,3258.32,FULFILLED,2025-11-05,
ORD-2025-01235,2025-07-03,Tesco UK,UK,EDI,FX60-UK,1848,16581.31,FULFILLED,2025-07-04,
ORD-2025-04679,2025-08-01,Coop Group,EU,EDI,AL180-EU,1442,19163.95,FULFILLED,2025-08-02,
ORD-2025-00830,2025-02-27,Lidl Europe,EU,EDI,DP1000-FR,1948,6202.91,FULFILLED,2025-02-28,
ORD-2025-07249,2025-09-22,dm (Drogerie Markt),DE,Manual,MG375-FR,325,3843.07,FULFILLED,2025-09-27,
ORD-2025-07189,2025-09-14,Coop Group,EU,Manual,CAD400-FR,1423,9721.59,FULFILLED,2025-09-16,
ORD-2025-07068,2025-04-27,Lidl Europe,EU,Manual,AL180-EU,513,6136.24,NOT_FULFILLED,,
ORD-2025-04110,2025-10-01,Mercadona,ES,EDI,MG375-FR,1285,13056.37,FULFILLED,2025-10-04,
ORD-2025-03489,2025-03-12,Carrefour France,FR,EDI,MG375-FR,666,3134.21,FULFILLED,2025-03-17,
ORD-2025-05531,2025-02-09,Boots UK,UK,EDI,FX60-UK,1178,10888.01,FULFILLED,2025-02-10,
ORD-2025-03789,2025-09-06,Carrefour France,FR,EDI,DP500-FR,1411,7572.23,FULFILLED,2025-09-07,
ORD-2025-03349,2025-10-01,Carrefour France,FR,EDI,CAD400-FR,777,7039.13,FULFILLED,2025-10-02,
ORD-2025-00717,2025-07-07,Boots UK,UK,EDI,DP500-FR,1656,21912.33,FULFILLED,2025-07-11,
ORD-2025-01890,2025-09-02,E.Leclerc,FR,EDI,DP1000-FR,1686,27067.45,FULFILLED,2025-09-04,
ORD-2025-04916,2025-05-09,Mercadona,ES,EDI,BS10-DE,1077,4420.07,FULFILLED,2025-05-11,
ORD-2025-07058,2025-04-20,E.Leclerc,FR,Manual,AL120-EU,223,913.54,FULFILLED,2025-04-21,
ORD-2025-07277,2025-11-07,Coop Group,EU,Manual,AL120-EU,1826,28760.39,FULFILLED,2025-11-11,
ORD-2025-01839,2025-07-22,Boots UK,UK,EDI,AL180-EU,977,14253.6,FULFILLED,2025-07-27,
ORD-2025-06836,2025-01-09,Boots UK,UK,Manual,BS10-DE,454,3118.16,FULFILLED,2025-01-11,
ORD-2025-06570,2025-02-27,Lidl Europe,EU,Manual,DP500-FR,1945,8567.97,NOT_FULFILLED,,
ORD-2025-02334,2025-01-20,Lidl Europe,EU,EDI,DP1000-FR,375,4003.87,FULFILLED,2025-01-21,
ORD-2025-06326,2025-07-19,dm (Drogerie Markt),DE,Manual,MG375-FR,360,1691.97,FULFILLED,2025-07-21,
ORD-2025-03907,2025-04-04,Coop Group,EU,EDI,AL180-EU,1809,15783.23,FULFILLED,2025-04-05,
ORD-2025-01130,2025-07-07,dm (Drogerie Markt),DE,EDI,AL180-EU,154,1811.4,FULFILLED,2025-07-11,
ORD-2025-02661,2025-12-20,Tesco UK,UK,EDI,DP500-FR,1934,8267.9,FULFILLED,2025-12-21,
ORD-2025-04038,2025-01-10,Mercadona,ES,EDI,DP500-FR,80,807.92,FULFILLED,2025-01-11,
ORD-2025-04297,2025-11-08,Tesco UK,UK,EDI,DP1000-FR,668,3263.28,FULFILLED,2025-11-11,
ORD-2025-06594,2025-06-14,Carrefour France,FR,Manual,AL180-EU,584,7945.01,FULFILLED,2025-06-18,
ORD-2025-00272,2025-07-22,dm (Drogerie Markt),DE,EDI,AL180-EU,1515,11479.46,FULFILLED,2025-07-23,
ORD-2025-05364,2025-04-26,Coop Group,EU,EDI,BS10-DE,170,2531.53,NOT_FULFILLED,,
ORD-2025-00874,2025-06-24,Tesco UK,UK,EDI,DP1000-FR,925,13145.94,NOT_FULFILLED,,
ORD-2025-00877,2025-01-03,E.Leclerc,FR,EDI,BS10-DE,662,8908.18,FULFILLED,2025-01-04,
ORD-2025-06971,2025-04-12,E.Leclerc,FR,Manual,AL180-EU,1416,23335.21,FULFILLED,2025-04-16,
ORD-2025-03851,2025-03-04,Tesco UK,UK,EDI,CAD400-FR,980,17543.99,FULFILLED,2025-03-08,
ORD-2025-03102,2025-08-13,E.Leclerc,FR,EDI,CAD400-FR,1178,16079.88,FULFILLED,2025-08-14,
ORD-2025-03908,2025-10-11,E.Leclerc,FR,EDI,BS10-DE,1260,9193.08,NOT_FULFILLED,,
ORD-2025-04082,2025-10-19,Tesco UK,UK,EDI,BS10-DE,1370,23139.33,NOT_FULFILLED,,
ORD-2025-06406,2025-01-07,Coop Group,EU,Manual,DP500-FR,1957,13378.22,FULFILLED,2025-01-11,
ORD-2025-00977,2025-04-07,Mercadona,ES,EDI,AL120-EU,88,1288.91,FULFILLED,2025-04-08,
ORD-2025-05577,2025-03-25,dm (Drogerie Markt),DE,EDI,CAD400-FR,1418,24118.97,NOT_FULFILLED,,
ORD-2025-04201,2025-06-11,Boots UK,UK,EDI,DP500-FR,298,1156.37,FULFILLED,2025-06-15,
ORD-2025-05866,2025-08-15,Coop Group,EU,Manual,MG375-FR,53,620.31,FULFILLED,2025-08-20,
ORD-2025-05089,2025-05-06,Tesco UK,UK,EDI,DP500-FR,1473,21285.89,NOT_FULFILLED,,
ORD-2025-08079,2025-12-15,Mercadona,ES,Email,DP1000-FR,1853,22391.51,FULFILLED,2025-12-19,
ORD-2025-05097,2025-01-07,Mercadona,ES,EDI,AL120-EU,1712,10559.09,NOT_FULFILLED,,
ORD-2025-05142,2025-04-07,Coop Group,EU,EDI,AL120-EU,769,11796.31,FULFILLED,2025-04-12,
ORD-2025-05830,2025-05-12,Carrefour France,FR,Manual,AL120-EU,1557,13844.03,FULFILLED,2025-05-14,
ORD-2025-05191,2025-02-12,E.Leclerc,FR,EDI,FX60-UK,1007,14483.58,NOT_FULFILLED,,
ORD-2025-07470,2025-03-23,Lidl Europe,EU,Email,MG375-FR,1692,27045.11,FULFILLED,2025-03-25,
ORD-2025-05048,2025-08-29,Boots UK,UK,EDI,DP500-FR,1127,16688.18,FULFILLED,2025-09-03,
ORD-2025-03730,2025-06-01,Carrefour France,FR,EDI,AL120-EU,1143,19097.66,FULFILLED,2025-06-04,
ORD-2025-01202,2025-06-05,dm (Drogerie Markt),DE,EDI,DP500-FR,1685,23848.32,FULFILLED,2025-06-10,
ORD-2025-00645,2025-04-01,Coop Group,EU,EDI,MG375-FR,1630,4106.96,FULFILLED,2025-04-04,
ORD-2025-04591,2025-05-28,Tesco UK,UK,EDI,AL180-EU,415,6932.5,FULFILLED,2025-05-31,
ORD-2025-00765,2025-04-02,Mercadona,ES,EDI,CAD400-FR,1990,32528.82,FULFILLED,2025-04-07,
ORD-2025-06818,2025-01-12,E.Leclerc,FR,Manual,MG375-FR,1419,7221.11,NOT_FULFILLED,,
ORD-2025-06722,2025-04-07,Tesco UK,UK,Manual,DP500-FR,1368,16376.72,NOT_FULFILLED,,
ORD-2025-07602,2025-03-22,Lidl Europe,EU,Email,AL180-EU,1389,21909.49,FULFILLED,2025-03-23,
ORD-2025-01515,2025-05-13,dm (Drogerie Markt),DE,EDI,DP500-FR,711,1956.08,FULFILLED,2025-05-14,
ORD-2025-05362,2025-09-10,Lidl Europe,EU,EDI,CAD400-FR,483,7235.42,FULFILLED,2025-09-13,
ORD-2025-07381,2025-04-01,Boots UK,UK,Manual,FX60-UK,1791,6174.5,FULFILLED,2025-04-04,
ORD-2025-06141,2025-11-10,Mercadona,ES,Manual,AL120-EU,495,2490.06,FULFILLED,2025-11-12,
ORD-2025-07546,2025-01-09,Tesco UK,UK,Email,BS10-DE,1877,21235.77,NOT_FULFILLED,,
